"","sites","a","b","height","total_seg","hit","vp","under","over","area","hitrate","underrate","overrate","Seg_qualy"
"1","chm_1",0.07,0.09,4,20,11,15,2,7,535.015625,0.733333333333333,0.1,0.35,"0.73 @ 0.28"
"2","chm_2",0.07,0.09,4,27,10,12,1,16,421.109375,0.833333333333333,0.037037037037037,0.592592592592593,"0.83 @ 0.33"
"3","chm_3",0.07,0.09,4,39,16,18,1,22,605.953125,0.888888888888889,0.0256410256410256,0.564102564102564,"0.89 @ 0.31"
"4","chm_4",0.07,0.09,4,21,8,12,2,11,369.234375,0.666666666666667,0.0952380952380952,0.523809523809524,"0.67 @ 0.36"
"5","Mean",0.07,0.09,4,26.75,11.25,14.25,1.5,14,482.828125,0.780555555555556,0.0644790394790395,0.50762617012617,"0.78 @ 0.32"
