"","X","a","b","height","total_seg","hit.vp","under","over","area","hitrate","underrate","overrate","Seg_qualy","MIN","chm"
"40",40,0.05,0.08,4,40,"13 / 15",1,26,534.859375,0.866666666666667,0.025,0.65,"0.87 @ 0.35",0.1,"chm_1_3"
"41",41,0.05,0.09,4,40,"13 / 15",1,26,534.859375,0.866666666666667,0.025,0.65,"0.87 @ 0.35",0.1,"chm_1_3"
"42",42,0.05,0.1,4,40,"13 / 15",1,26,534.859375,0.866666666666667,0.025,0.65,"0.87 @ 0.35",0.1,"chm_1_3"
"43",43,0.06,0.05,4,30,"11 / 15",2,17,534.953125,0.733333333333333,0.0666666666666667,0.566666666666667,"0.73 @ 0.35",0.1,"chm_1_3"
"44",44,0.06,0.06,4,30,"11 / 15",2,17,534.953125,0.733333333333333,0.0666666666666667,0.566666666666667,"0.73 @ 0.35",0.1,"chm_1_3"
"45",45,0.06,0.07,4,30,"11 / 15",2,17,534.953125,0.733333333333333,0.0666666666666667,0.566666666666667,"0.73 @ 0.35",0.1,"chm_1_3"
"46",46,0.06,0.08,4,29,"11 / 15",2,16,534.953125,0.733333333333333,0.0689655172413793,0.551724137931034,"0.73 @ 0.34",0.1,"chm_1_3"
"47",47,0.06,0.09,4,28,"11 / 15",2,15,534.953125,0.733333333333333,0.0714285714285714,0.535714285714286,"0.73 @ 0.34",0.1,"chm_1_3"
"48",48,0.06,0.1,4,27,"11 / 15",2,14,534.984375,0.733333333333333,0.0740740740740741,0.518518518518518,"0.73 @ 0.33",0.1,"chm_1_3"
"49",49,0.07,0.05,4,21,"11 / 15",2,8,535.015625,0.733333333333333,0.0952380952380952,0.380952380952381,"0.73 @ 0.29",0.1,"chm_1_3"
"50",50,0.07,0.06,4,21,"11 / 15",2,8,535.015625,0.733333333333333,0.0952380952380952,0.380952380952381,"0.73 @ 0.29",0.1,"chm_1_3"
"51",51,0.07,0.07,4,20,"11 / 15",2,7,535.015625,0.733333333333333,0.1,0.35,"0.73 @ 0.28",0.1,"chm_1_3"
"52",52,0.07,0.08,4,20,"11 / 15",2,7,535.015625,0.733333333333333,0.1,0.35,"0.73 @ 0.28",0.1,"chm_1_3"
"53",53,0.07,0.09,4,20,"11 / 15",2,7,535.015625,0.733333333333333,0.1,0.35,"0.73 @ 0.28",0.1,"chm_1_3"
"54",54,0.07,0.1,4,19,"11 / 15",2,6,535.015625,0.733333333333333,0.105263157894737,0.315789473684211,"0.73 @ 0.26",0.1,"chm_1_3"
"55",55,0.08,0.05,4,15,"9 / 15",3,3,535.109375,0.6,0.2,0.2,"0.6 @ 0.3",0.1,"chm_1_3"
"56",56,0.08,0.06,4,15,"9 / 15",3,3,535.109375,0.6,0.2,0.2,"0.6 @ 0.3",0.1,"chm_1_3"
"57",57,0.08,0.07,4,15,"9 / 15",3,3,535.109375,0.6,0.2,0.2,"0.6 @ 0.3",0.1,"chm_1_3"
"58",58,0.08,0.08,4,15,"9 / 15",3,3,535.109375,0.6,0.2,0.2,"0.6 @ 0.3",0.1,"chm_1_3"
"59",59,0.08,0.09,4,15,"9 / 15",3,3,535.109375,0.6,0.2,0.2,"0.6 @ 0.3",0.1,"chm_1_3"
"60",60,0.08,0.1,4,15,"9 / 15",3,3,535.109375,0.6,0.2,0.2,"0.6 @ 0.3",0.1,"chm_1_3"
"61",61,0.09,0.05,4,13,"9 / 15",3,1,535.109375,0.6,0.230769230769231,0.0769230769230769,"0.6 @ 0.27",0.1,"chm_1_3"
"62",62,0.09,0.06,4,13,"9 / 15",3,1,535.109375,0.6,0.230769230769231,0.0769230769230769,"0.6 @ 0.27",0.1,"chm_1_3"
"63",63,0.09,0.07,4,13,"9 / 15",3,1,535.109375,0.6,0.230769230769231,0.0769230769230769,"0.6 @ 0.27",0.1,"chm_1_3"
"64",64,0.09,0.08,4,13,"9 / 15",3,1,535.109375,0.6,0.230769230769231,0.0769230769230769,"0.6 @ 0.27",0.1,"chm_1_3"
"65",65,0.09,0.09,4,13,"9 / 15",3,1,535.109375,0.6,0.230769230769231,0.0769230769230769,"0.6 @ 0.27",0.1,"chm_1_3"
"66",66,0.09,0.1,4,13,"9 / 15",3,1,535.109375,0.6,0.230769230769231,0.0769230769230769,"0.6 @ 0.27",0.1,"chm_1_3"
"67",67,0.1,0.05,4,13,"9 / 15",3,1,535.109375,0.6,0.230769230769231,0.0769230769230769,"0.6 @ 0.27",0.1,"chm_1_3"
"68",68,0.1,0.06,4,13,"9 / 15",3,1,535.109375,0.6,0.230769230769231,0.0769230769230769,"0.6 @ 0.27",0.1,"chm_1_3"
"69",69,0.1,0.07,4,13,"9 / 15",3,1,535.109375,0.6,0.230769230769231,0.0769230769230769,"0.6 @ 0.27",0.1,"chm_1_3"
"70",70,0.1,0.08,4,13,"9 / 15",3,1,535.109375,0.6,0.230769230769231,0.0769230769230769,"0.6 @ 0.27",0.1,"chm_1_3"
"71",71,0.1,0.09,4,13,"9 / 15",3,1,535.109375,0.6,0.230769230769231,0.0769230769230769,"0.6 @ 0.27",0.1,"chm_1_3"
"72",72,0.1,0.1,4,13,"9 / 15",3,1,535.109375,0.6,0.230769230769231,0.0769230769230769,"0.6 @ 0.27",0.1,"chm_1_3"
"73",73,0.05,0.05,4.5,45,"13 / 15",1,31,526.03125,0.866666666666667,0.0222222222222222,0.688888888888889,"0.87 @ 0.37",0.1,"chm_1_3"
"74",74,0.05,0.06,4.5,44,"13 / 15",1,30,526.03125,0.866666666666667,0.0227272727272727,0.681818181818182,"0.87 @ 0.36",0.1,"chm_1_3"
"75",75,0.05,0.07,4.5,41,"13 / 15",1,27,526.0625,0.866666666666667,0.024390243902439,0.658536585365854,"0.87 @ 0.35",0.1,"chm_1_3"
"76",76,0.05,0.08,4.5,40,"13 / 15",1,26,526.0625,0.866666666666667,0.025,0.65,"0.87 @ 0.35",0.1,"chm_1_3"
"77",77,0.05,0.09,4.5,40,"13 / 15",1,26,526.0625,0.866666666666667,0.025,0.65,"0.87 @ 0.35",0.1,"chm_1_3"
"78",78,0.05,0.1,4.5,40,"13 / 15",1,26,526.0625,0.866666666666667,0.025,0.65,"0.87 @ 0.35",0.1,"chm_1_3"
"79",79,0.06,0.05,4.5,30,"11 / 15",2,17,526.171875,0.733333333333333,0.0666666666666667,0.566666666666667,"0.73 @ 0.35",0.1,"chm_1_3"
"80",80,0.06,0.06,4.5,30,"11 / 15",2,17,526.171875,0.733333333333333,0.0666666666666667,0.566666666666667,"0.73 @ 0.35",0.1,"chm_1_3"
"81",81,0.06,0.07,4.5,30,"11 / 15",2,17,526.171875,0.733333333333333,0.0666666666666667,0.566666666666667,"0.73 @ 0.35",0.1,"chm_1_3"
"82",82,0.06,0.08,4.5,29,"11 / 15",2,16,526.171875,0.733333333333333,0.0689655172413793,0.551724137931034,"0.73 @ 0.34",0.1,"chm_1_3"
"83",83,0.06,0.09,4.5,28,"11 / 15",2,15,526.171875,0.733333333333333,0.0714285714285714,0.535714285714286,"0.73 @ 0.34",0.1,"chm_1_3"
"84",84,0.06,0.1,4.5,27,"11 / 15",2,14,526.21875,0.733333333333333,0.0740740740740741,0.518518518518518,"0.73 @ 0.33",0.1,"chm_1_3"
"85",85,0.07,0.05,4.5,21,"11 / 15",2,8,526.28125,0.733333333333333,0.0952380952380952,0.380952380952381,"0.73 @ 0.29",0.1,"chm_1_3"
"86",86,0.07,0.06,4.5,21,"11 / 15",2,8,526.28125,0.733333333333333,0.0952380952380952,0.380952380952381,"0.73 @ 0.29",0.1,"chm_1_3"
"87",87,0.07,0.07,4.5,20,"11 / 15",2,7,526.28125,0.733333333333333,0.1,0.35,"0.73 @ 0.28",0.1,"chm_1_3"
"88",88,0.07,0.08,4.5,20,"11 / 15",2,7,526.28125,0.733333333333333,0.1,0.35,"0.73 @ 0.28",0.1,"chm_1_3"
"89",89,0.07,0.09,4.5,20,"11 / 15",2,7,526.28125,0.733333333333333,0.1,0.35,"0.73 @ 0.28",0.1,"chm_1_3"
"90",90,0.07,0.1,4.5,19,"11 / 15",2,6,526.28125,0.733333333333333,0.105263157894737,0.315789473684211,"0.73 @ 0.26",0.1,"chm_1_3"
"91",91,0.08,0.05,4.5,15,"9 / 15",3,3,526.390625,0.6,0.2,0.2,"0.6 @ 0.3",0.1,"chm_1_3"
"92",92,0.08,0.06,4.5,15,"9 / 15",3,3,526.390625,0.6,0.2,0.2,"0.6 @ 0.3",0.1,"chm_1_3"
"93",93,0.08,0.07,4.5,15,"9 / 15",3,3,526.390625,0.6,0.2,0.2,"0.6 @ 0.3",0.1,"chm_1_3"
"94",94,0.08,0.08,4.5,15,"9 / 15",3,3,526.390625,0.6,0.2,0.2,"0.6 @ 0.3",0.1,"chm_1_3"
"95",95,0.08,0.09,4.5,15,"9 / 15",3,3,526.390625,0.6,0.2,0.2,"0.6 @ 0.3",0.1,"chm_1_3"
"96",96,0.08,0.1,4.5,15,"9 / 15",3,3,526.390625,0.6,0.2,0.2,"0.6 @ 0.3",0.1,"chm_1_3"
"97",97,0.09,0.05,4.5,13,"9 / 15",3,1,526.390625,0.6,0.230769230769231,0.0769230769230769,"0.6 @ 0.27",0.1,"chm_1_3"
"98",98,0.09,0.06,4.5,13,"9 / 15",3,1,526.390625,0.6,0.230769230769231,0.0769230769230769,"0.6 @ 0.27",0.1,"chm_1_3"
"99",99,0.09,0.07,4.5,13,"9 / 15",3,1,526.390625,0.6,0.230769230769231,0.0769230769230769,"0.6 @ 0.27",0.1,"chm_1_3"
"100",100,0.09,0.08,4.5,13,"9 / 15",3,1,526.390625,0.6,0.230769230769231,0.0769230769230769,"0.6 @ 0.27",0.1,"chm_1_3"
"101",101,0.09,0.09,4.5,13,"9 / 15",3,1,526.390625,0.6,0.230769230769231,0.0769230769230769,"0.6 @ 0.27",0.1,"chm_1_3"
"102",102,0.09,0.1,4.5,13,"9 / 15",3,1,526.390625,0.6,0.230769230769231,0.0769230769230769,"0.6 @ 0.27",0.1,"chm_1_3"
"103",103,0.1,0.05,4.5,13,"9 / 15",3,1,526.390625,0.6,0.230769230769231,0.0769230769230769,"0.6 @ 0.27",0.1,"chm_1_3"
"104",104,0.1,0.06,4.5,13,"9 / 15",3,1,526.390625,0.6,0.230769230769231,0.0769230769230769,"0.6 @ 0.27",0.1,"chm_1_3"
"105",105,0.1,0.07,4.5,13,"9 / 15",3,1,526.390625,0.6,0.230769230769231,0.0769230769230769,"0.6 @ 0.27",0.1,"chm_1_3"
"106",106,0.1,0.08,4.5,13,"9 / 15",3,1,526.390625,0.6,0.230769230769231,0.0769230769230769,"0.6 @ 0.27",0.1,"chm_1_3"
"107",107,0.1,0.09,4.5,13,"9 / 15",3,1,526.390625,0.6,0.230769230769231,0.0769230769230769,"0.6 @ 0.27",0.1,"chm_1_3"
"108",108,0.1,0.1,4.5,13,"9 / 15",3,1,526.390625,0.6,0.230769230769231,0.0769230769230769,"0.6 @ 0.27",0.1,"chm_1_3"
"109",109,0.05,0.05,5,44,"13 / 15",1,30,518.375,0.866666666666667,0.0227272727272727,0.681818181818182,"0.87 @ 0.36",0.1,"chm_1_3"
"110",110,0.05,0.06,5,43,"13 / 15",1,29,518.375,0.866666666666667,0.0232558139534884,0.674418604651163,"0.87 @ 0.36",0.1,"chm_1_3"
"111",111,0.05,0.07,5,40,"13 / 15",1,26,518.40625,0.866666666666667,0.025,0.65,"0.87 @ 0.35",0.1,"chm_1_3"
"112",112,0.05,0.08,5,39,"13 / 15",1,25,518.390625,0.866666666666667,0.0256410256410256,0.641025641025641,"0.87 @ 0.35",0.1,"chm_1_3"
"113",113,0.05,0.09,5,39,"13 / 15",1,25,518.390625,0.866666666666667,0.0256410256410256,0.641025641025641,"0.87 @ 0.35",0.1,"chm_1_3"
"114",114,0.05,0.1,5,39,"13 / 15",1,25,518.390625,0.866666666666667,0.0256410256410256,0.641025641025641,"0.87 @ 0.35",0.1,"chm_1_3"
"115",115,0.06,0.05,5,29,"11 / 15",2,16,518.515625,0.733333333333333,0.0689655172413793,0.551724137931034,"0.73 @ 0.34",0.1,"chm_1_3"
"116",116,0.06,0.06,5,29,"11 / 15",2,16,518.515625,0.733333333333333,0.0689655172413793,0.551724137931034,"0.73 @ 0.34",0.1,"chm_1_3"
"117",117,0.06,0.07,5,29,"11 / 15",2,16,518.515625,0.733333333333333,0.0689655172413793,0.551724137931034,"0.73 @ 0.34",0.1,"chm_1_3"
"118",118,0.06,0.08,5,28,"11 / 15",2,15,518.515625,0.733333333333333,0.0714285714285714,0.535714285714286,"0.73 @ 0.34",0.1,"chm_1_3"
"119",119,0.06,0.09,5,28,"11 / 15",2,15,518.515625,0.733333333333333,0.0714285714285714,0.535714285714286,"0.73 @ 0.34",0.1,"chm_1_3"
"120",120,0.06,0.1,5,27,"11 / 15",2,14,518.546875,0.733333333333333,0.0740740740740741,0.518518518518518,"0.73 @ 0.33",0.1,"chm_1_3"
"121",121,0.07,0.05,5,21,"11 / 15",2,8,518.640625,0.733333333333333,0.0952380952380952,0.380952380952381,"0.73 @ 0.29",0.1,"chm_1_3"
"122",122,0.07,0.06,5,21,"11 / 15",2,8,518.640625,0.733333333333333,0.0952380952380952,0.380952380952381,"0.73 @ 0.29",0.1,"chm_1_3"
"123",123,0.07,0.07,5,20,"11 / 15",2,7,518.640625,0.733333333333333,0.1,0.35,"0.73 @ 0.28",0.1,"chm_1_3"
"124",124,0.07,0.08,5,20,"11 / 15",2,7,518.640625,0.733333333333333,0.1,0.35,"0.73 @ 0.28",0.1,"chm_1_3"
"125",125,0.07,0.09,5,20,"11 / 15",2,7,518.640625,0.733333333333333,0.1,0.35,"0.73 @ 0.28",0.1,"chm_1_3"
"126",126,0.07,0.1,5,19,"11 / 15",2,6,518.640625,0.733333333333333,0.105263157894737,0.315789473684211,"0.73 @ 0.26",0.1,"chm_1_3"
