"","sites","a","b","height","total_seg","hit","vp","under","over","area","hitrate","underrate","overrate","Seg_qualy"
"1","chm_1",0.07,0.1,3.5,19,11,15,2,6,543.15625,0.733333333333333,0.105263157894737,0.315789473684211,"0.73 @ 0.26"
"2","chm_2",0.07,0.1,3.5,26,10,12,1,15,443.46875,0.833333333333333,0.0384615384615385,0.576923076923077,"0.83 @ 0.33"
"3","chm_3",0.07,0.1,3.5,41,16,18,1,24,623.578125,0.888888888888889,0.024390243902439,0.585365853658537,"0.89 @ 0.32"
"4","chm_4",0.07,0.1,3.5,20,8,12,2,10,377.03125,0.666666666666667,0.1,0.5,"0.67 @ 0.35"
"5","Mean",0.07,0.1,3.5,26.5,11.25,14.25,1.5,13.75,496.80859375,0.780555555555556,0.0670287350646786,0.494519601066456,"0.78 @ 0.31"
