"","sites","a","b","height","total_seg","hit","vp","under","over","area","hitrate","underrate","overrate","Seg_qualy"
"1","chm_1",0.07,0.07,3.5,20,11,15,2,7,543.140625,0.733333333333333,0.1,0.35,"0.73 @ 0.28"
"2","chm_2",0.07,0.07,3.5,28,10,12,1,17,443.34375,0.833333333333333,0.0357142857142857,0.607142857142857,"0.83 @ 0.34"
"3","chm_3",0.07,0.07,3.5,43,16,18,1,26,623.5,0.888888888888889,0.0232558139534884,0.604651162790698,"0.89 @ 0.33"
"4","chm_4",0.07,0.07,3.5,22,8,12,2,12,377,0.666666666666667,0.0909090909090909,0.545454545454545,"0.67 @ 0.36"
"5","Mean",0.07,0.07,3.5,28.25,11.25,14.25,1.5,15.5,496.74609375,0.780555555555556,0.0624697976442163,0.526812141347025,"0.78 @ 0.33"
