"","a","b","height","total_seg","hit/vp","under","over","area","hitrate","underrate","overrate","Seg_qualy","MIN","chm"
"437",0.04,0.07,5.5,59,"13 / 15",1,45,506.328125,0.866666666666667,0.0169491525423729,0.76271186440678,"0.87 @ 0.4",0.1,"CHM_1_3"
"438",0.04,0.08,5.5,56,"13 / 15",1,42,506.390625,0.866666666666667,0.0178571428571429,0.75,"0.87 @ 0.39",0.1,"CHM_1_3"
"439",0.04,0.09,5.5,56,"13 / 15",1,42,506.390625,0.866666666666667,0.0178571428571429,0.75,"0.87 @ 0.39",0.1,"CHM_1_3"
"440",0.04,0.1,5.5,55,"13 / 15",1,41,506.390625,0.866666666666667,0.0181818181818182,0.745454545454545,"0.87 @ 0.39",0.1,"CHM_1_3"
"441",0.05,0.01,5.5,47,"13 / 15",1,33,506.546875,0.866666666666667,0.0212765957446809,0.702127659574468,"0.87 @ 0.37",0.1,"CHM_1_3"
"442",0.05,0.02,5.5,46,"13 / 15",1,32,506.546875,0.866666666666667,0.0217391304347826,0.695652173913043,"0.87 @ 0.37",0.1,"CHM_1_3"
"443",0.05,0.03,5.5,45,"13 / 15",1,31,506.625,0.866666666666667,0.0222222222222222,0.688888888888889,"0.87 @ 0.37",0.1,"CHM_1_3"
"444",0.05,0.04,5.5,43,"13 / 15",1,29,506.6875,0.866666666666667,0.0232558139534884,0.674418604651163,"0.87 @ 0.36",0.1,"CHM_1_3"
"445",0.05,0.05,5.5,43,"13 / 15",1,29,506.6875,0.866666666666667,0.0232558139534884,0.674418604651163,"0.87 @ 0.36",0.1,"CHM_1_3"
"446",0.05,0.06,5.5,42,"13 / 15",1,28,506.6875,0.866666666666667,0.0238095238095238,0.666666666666667,"0.87 @ 0.36",0.1,"CHM_1_3"
"447",0.05,0.07,5.5,39,"13 / 15",1,25,506.703125,0.866666666666667,0.0256410256410256,0.641025641025641,"0.87 @ 0.35",0.1,"CHM_1_3"
"448",0.05,0.08,5.5,38,"13 / 15",1,24,506.703125,0.866666666666667,0.0263157894736842,0.631578947368421,"0.87 @ 0.34",0.1,"CHM_1_3"
"449",0.05,0.09,5.5,38,"13 / 15",1,24,506.703125,0.866666666666667,0.0263157894736842,0.631578947368421,"0.87 @ 0.34",0.1,"CHM_1_3"
"450",0.05,0.1,5.5,38,"13 / 15",1,24,506.703125,0.866666666666667,0.0263157894736842,0.631578947368421,"0.87 @ 0.34",0.1,"CHM_1_3"
"451",0.06,0.01,5.5,30,"11 / 15",2,17,506.78125,0.733333333333333,0.0666666666666667,0.566666666666667,"0.73 @ 0.35",0.1,"CHM_1_3"
"452",0.06,0.02,5.5,28,"11 / 15",2,15,506.78125,0.733333333333333,0.0714285714285714,0.535714285714286,"0.73 @ 0.34",0.1,"CHM_1_3"
"453",0.06,0.03,5.5,28,"11 / 15",2,15,506.78125,0.733333333333333,0.0714285714285714,0.535714285714286,"0.73 @ 0.34",0.1,"CHM_1_3"
"454",0.06,0.04,5.5,28,"11 / 15",2,15,506.78125,0.733333333333333,0.0714285714285714,0.535714285714286,"0.73 @ 0.34",0.1,"CHM_1_3"
"455",0.06,0.05,5.5,28,"11 / 15",2,15,506.78125,0.733333333333333,0.0714285714285714,0.535714285714286,"0.73 @ 0.34",0.1,"CHM_1_3"
"456",0.06,0.06,5.5,28,"11 / 15",2,15,506.78125,0.733333333333333,0.0714285714285714,0.535714285714286,"0.73 @ 0.34",0.1,"CHM_1_3"
"457",0.06,0.07,5.5,28,"11 / 15",2,15,506.78125,0.733333333333333,0.0714285714285714,0.535714285714286,"0.73 @ 0.34",0.1,"CHM_1_3"
"458",0.06,0.08,5.5,27,"11 / 15",2,14,506.796875,0.733333333333333,0.0740740740740741,0.518518518518518,"0.73 @ 0.33",0.1,"CHM_1_3"
"459",0.06,0.09,5.5,27,"11 / 15",2,14,506.796875,0.733333333333333,0.0740740740740741,0.518518518518518,"0.73 @ 0.33",0.1,"CHM_1_3"
"460",0.06,0.1,5.5,26,"11 / 15",2,13,506.796875,0.733333333333333,0.0769230769230769,0.5,"0.73 @ 0.33",0.1,"CHM_1_3"
"461",0.07,0.01,5.5,22,"11 / 15",2,9,506.84375,0.733333333333333,0.0909090909090909,0.409090909090909,"0.73 @ 0.3",0.1,"CHM_1_3"
"462",0.07,0.02,5.5,22,"11 / 15",2,9,506.84375,0.733333333333333,0.0909090909090909,0.409090909090909,"0.73 @ 0.3",0.1,"CHM_1_3"
"463",0.07,0.03,5.5,22,"11 / 15",2,9,506.84375,0.733333333333333,0.0909090909090909,0.409090909090909,"0.73 @ 0.3",0.1,"CHM_1_3"
"464",0.07,0.04,5.5,21,"11 / 15",2,8,506.84375,0.733333333333333,0.0952380952380952,0.380952380952381,"0.73 @ 0.29",0.1,"CHM_1_3"
"465",0.07,0.05,5.5,21,"11 / 15",2,8,506.84375,0.733333333333333,0.0952380952380952,0.380952380952381,"0.73 @ 0.29",0.1,"CHM_1_3"
"466",0.07,0.06,5.5,21,"11 / 15",2,8,506.84375,0.733333333333333,0.0952380952380952,0.380952380952381,"0.73 @ 0.29",0.1,"CHM_1_3"
"467",0.07,0.07,5.5,20,"11 / 15",2,7,506.84375,0.733333333333333,0.1,0.35,"0.73 @ 0.28",0.1,"CHM_1_3"
"468",0.07,0.08,5.5,20,"11 / 15",2,7,506.84375,0.733333333333333,0.1,0.35,"0.73 @ 0.28",0.1,"CHM_1_3"
"469",0.07,0.09,5.5,20,"11 / 15",2,7,506.84375,0.733333333333333,0.1,0.35,"0.73 @ 0.28",0.1,"CHM_1_3"
"470",0.07,0.1,5.5,19,"11 / 15",2,6,506.84375,0.733333333333333,0.105263157894737,0.315789473684211,"0.73 @ 0.26",0.1,"CHM_1_3"
"471",0.08,0.01,5.5,17,"9 / 15",3,5,506.953125,0.6,0.176470588235294,0.294117647058824,"0.6 @ 0.32",0.1,"CHM_1_3"
"472",0.08,0.02,5.5,16,"9 / 15",3,4,506.984375,0.6,0.1875,0.25,"0.6 @ 0.31",0.1,"CHM_1_3"
"473",0.08,0.03,5.5,16,"9 / 15",3,4,506.984375,0.6,0.1875,0.25,"0.6 @ 0.31",0.1,"CHM_1_3"
"474",0.08,0.04,5.5,15,"9 / 15",3,3,506.96875,0.6,0.2,0.2,"0.6 @ 0.3",0.1,"CHM_1_3"
"475",0.08,0.05,5.5,15,"9 / 15",3,3,506.96875,0.6,0.2,0.2,"0.6 @ 0.3",0.1,"CHM_1_3"
"476",0.08,0.06,5.5,15,"9 / 15",3,3,506.96875,0.6,0.2,0.2,"0.6 @ 0.3",0.1,"CHM_1_3"
"477",0.08,0.07,5.5,15,"9 / 15",3,3,506.96875,0.6,0.2,0.2,"0.6 @ 0.3",0.1,"CHM_1_3"
"478",0.08,0.08,5.5,15,"9 / 15",3,3,506.96875,0.6,0.2,0.2,"0.6 @ 0.3",0.1,"CHM_1_3"
"479",0.08,0.09,5.5,15,"9 / 15",3,3,506.96875,0.6,0.2,0.2,"0.6 @ 0.3",0.1,"CHM_1_3"
"480",0.08,0.1,5.5,15,"9 / 15",3,3,506.96875,0.6,0.2,0.2,"0.6 @ 0.3",0.1,"CHM_1_3"
"481",0.09,0.01,5.5,14,"9 / 15",3,2,506.96875,0.6,0.214285714285714,0.142857142857143,"0.6 @ 0.29",0.1,"CHM_1_3"
"482",0.09,0.02,5.5,14,"9 / 15",3,2,506.96875,0.6,0.214285714285714,0.142857142857143,"0.6 @ 0.29",0.1,"CHM_1_3"
"483",0.09,0.03,5.5,14,"9 / 15",3,2,506.96875,0.6,0.214285714285714,0.142857142857143,"0.6 @ 0.29",0.1,"CHM_1_3"
"484",0.09,0.04,5.5,14,"9 / 15",3,2,506.96875,0.6,0.214285714285714,0.142857142857143,"0.6 @ 0.29",0.1,"CHM_1_3"
"485",0.09,0.05,5.5,13,"9 / 15",3,1,506.96875,0.6,0.230769230769231,0.0769230769230769,"0.6 @ 0.27",0.1,"CHM_1_3"
"486",0.09,0.06,5.5,13,"9 / 15",3,1,506.96875,0.6,0.230769230769231,0.0769230769230769,"0.6 @ 0.27",0.1,"CHM_1_3"
"487",0.09,0.07,5.5,13,"9 / 15",3,1,506.96875,0.6,0.230769230769231,0.0769230769230769,"0.6 @ 0.27",0.1,"CHM_1_3"
"488",0.09,0.08,5.5,13,"9 / 15",3,1,506.96875,0.6,0.230769230769231,0.0769230769230769,"0.6 @ 0.27",0.1,"CHM_1_3"
"489",0.09,0.09,5.5,13,"9 / 15",3,1,506.96875,0.6,0.230769230769231,0.0769230769230769,"0.6 @ 0.27",0.1,"CHM_1_3"
"490",0.09,0.1,5.5,13,"9 / 15",3,1,506.96875,0.6,0.230769230769231,0.0769230769230769,"0.6 @ 0.27",0.1,"CHM_1_3"
"491",0.1,0.01,5.5,13,"9 / 15",3,1,506.96875,0.6,0.230769230769231,0.0769230769230769,"0.6 @ 0.27",0.1,"CHM_1_3"
"492",0.1,0.02,5.5,13,"9 / 15",3,1,506.96875,0.6,0.230769230769231,0.0769230769230769,"0.6 @ 0.27",0.1,"CHM_1_3"
"493",0.1,0.03,5.5,13,"9 / 15",3,1,506.96875,0.6,0.230769230769231,0.0769230769230769,"0.6 @ 0.27",0.1,"CHM_1_3"
"494",0.1,0.04,5.5,13,"9 / 15",3,1,506.96875,0.6,0.230769230769231,0.0769230769230769,"0.6 @ 0.27",0.1,"CHM_1_3"
"495",0.1,0.05,5.5,13,"9 / 15",3,1,506.96875,0.6,0.230769230769231,0.0769230769230769,"0.6 @ 0.27",0.1,"CHM_1_3"
"496",0.1,0.06,5.5,13,"9 / 15",3,1,506.96875,0.6,0.230769230769231,0.0769230769230769,"0.6 @ 0.27",0.1,"CHM_1_3"
"497",0.1,0.07,5.5,13,"9 / 15",3,1,506.96875,0.6,0.230769230769231,0.0769230769230769,"0.6 @ 0.27",0.1,"CHM_1_3"
"498",0.1,0.08,5.5,13,"9 / 15",3,1,506.96875,0.6,0.230769230769231,0.0769230769230769,"0.6 @ 0.27",0.1,"CHM_1_3"
"499",0.1,0.09,5.5,13,"9 / 15",3,1,506.96875,0.6,0.230769230769231,0.0769230769230769,"0.6 @ 0.27",0.1,"CHM_1_3"
"500",0.1,0.1,5.5,13,"9 / 15",3,1,506.96875,0.6,0.230769230769231,0.0769230769230769,"0.6 @ 0.27",0.1,"CHM_1_3"
"501",0.01,0.01,6,703,"15 / 15",0,688,497.078125,1,0,0.978662873399715,"1 @ 0.49",0.1,"CHM_1_3"
"502",0.01,0.02,6,682,"15 / 15",0,667,497.359375,1,0,0.978005865102639,"1 @ 0.49",0.1,"CHM_1_3"
"503",0.01,0.03,6,660,"15 / 15",0,645,497.578125,1,0,0.977272727272727,"1 @ 0.49",0.1,"CHM_1_3"
"504",0.01,0.04,6,629,"15 / 15",0,614,497.4375,1,0,0.976152623211447,"1 @ 0.49",0.1,"CHM_1_3"
"505",0.01,0.05,6,610,"15 / 15",0,595,497.609375,1,0,0.975409836065574,"1 @ 0.49",0.1,"CHM_1_3"
"506",0.01,0.06,6,579,"15 / 15",0,564,497.21875,1,0,0.974093264248705,"1 @ 0.49",0.1,"CHM_1_3"
"507",0.01,0.07,6,560,"15 / 15",0,545,497.3125,1,0,0.973214285714286,"1 @ 0.49",0.1,"CHM_1_3"
"508",0.01,0.08,6,538,"15 / 15",0,523,497.421875,1,0,0.972118959107807,"1 @ 0.49",0.1,"CHM_1_3"
"509",0.01,0.09,6,518,"15 / 15",0,503,497.375,1,0,0.971042471042471,"1 @ 0.49",0.1,"CHM_1_3"
"510",0.01,0.1,6,499,"15 / 15",0,484,497.3125,1,0,0.969939879759519,"1 @ 0.48",0.1,"CHM_1_3"
"511",0.02,0.01,6,296,"15 / 15",0,281,496.46875,1,0,0.949324324324324,"1 @ 0.47",0.1,"CHM_1_3"
"512",0.02,0.02,6,280,"15 / 15",0,265,496.328125,1,0,0.946428571428571,"1 @ 0.47",0.1,"CHM_1_3"
"513",0.02,0.03,6,263,"15 / 15",0,248,496.59375,1,0,0.942965779467681,"1 @ 0.47",0.1,"CHM_1_3"
"514",0.02,0.04,6,250,"15 / 15",0,235,496.6875,1,0,0.94,"1 @ 0.47",0.1,"CHM_1_3"
"515",0.02,0.05,6,236,"15 / 15",0,221,496.734375,1,0,0.936440677966102,"1 @ 0.47",0.1,"CHM_1_3"
"516",0.02,0.06,6,229,"15 / 15",0,214,496.71875,1,0,0.934497816593886,"1 @ 0.47",0.1,"CHM_1_3"
"517",0.02,0.07,6,217,"15 / 15",0,202,496.75,1,0,0.930875576036866,"1 @ 0.47",0.1,"CHM_1_3"
"518",0.02,0.08,6,211,"15 / 15",0,196,496.765625,1,0,0.928909952606635,"1 @ 0.46",0.1,"CHM_1_3"
"519",0.02,0.09,6,203,"15 / 15",0,188,496.6875,1,0,0.926108374384236,"1 @ 0.46",0.1,"CHM_1_3"
"520",0.02,0.1,6,191,"15 / 15",0,176,496.890625,1,0,0.921465968586387,"1 @ 0.46",0.1,"CHM_1_3"
"521",0.03,0.01,6,128,"13 / 15",1,114,497.71875,0.866666666666667,0.0078125,0.890625,"0.87 @ 0.45",0.1,"CHM_1_3"
