"","a","b","height","total_seg","hit/vp","under","over","area","hitrate","underrate","overrate","Seg_qualy","MIN","chm"
"1",0.05,0.05,3.5,44,"13 / 15",1,30,537.6875,0.866666666666667,0.0227272727272727,0.681818181818182,"0.87 @ 0.36",0.1,"CHM_1_3"
"2",0.05,0.06,3.5,43,"13 / 15",1,29,537.6875,0.866666666666667,0.0232558139534884,0.674418604651163,"0.87 @ 0.36",0.1,"CHM_1_3"
"3",0.05,0.07,3.5,40,"13 / 15",1,26,537.703125,0.866666666666667,0.025,0.65,"0.87 @ 0.35",0.1,"CHM_1_3"
"4",0.05,0.08,3.5,39,"13 / 15",1,25,537.703125,0.866666666666667,0.0256410256410256,0.641025641025641,"0.87 @ 0.35",0.1,"CHM_1_3"
"5",0.05,0.09,3.5,39,"13 / 15",1,25,537.703125,0.866666666666667,0.0256410256410256,0.641025641025641,"0.87 @ 0.35",0.1,"CHM_1_3"
"6",0.05,0.1,3.5,39,"13 / 15",1,25,537.703125,0.866666666666667,0.0256410256410256,0.641025641025641,"0.87 @ 0.35",0.1,"CHM_1_3"
"7",0.06,0.05,3.5,29,"11 / 15",2,16,537.828125,0.733333333333333,0.0689655172413793,0.551724137931034,"0.73 @ 0.34",0.1,"CHM_1_3"
"8",0.06,0.06,3.5,29,"11 / 15",2,16,537.828125,0.733333333333333,0.0689655172413793,0.551724137931034,"0.73 @ 0.34",0.1,"CHM_1_3"
"9",0.06,0.07,3.5,29,"11 / 15",2,16,537.828125,0.733333333333333,0.0689655172413793,0.551724137931034,"0.73 @ 0.34",0.1,"CHM_1_3"
"10",0.06,0.08,3.5,28,"11 / 15",2,15,537.828125,0.733333333333333,0.0714285714285714,0.535714285714286,"0.73 @ 0.34",0.1,"CHM_1_3"
"11",0.06,0.09,3.5,27,"11 / 15",2,14,537.828125,0.733333333333333,0.0740740740740741,0.518518518518518,"0.73 @ 0.33",0.1,"CHM_1_3"
"12",0.06,0.1,3.5,26,"11 / 15",2,13,537.859375,0.733333333333333,0.0769230769230769,0.5,"0.73 @ 0.33",0.1,"CHM_1_3"
"13",0.07,0.05,3.5,21,"11 / 15",2,8,537.890625,0.733333333333333,0.0952380952380952,0.380952380952381,"0.73 @ 0.29",0.1,"CHM_1_3"
"14",0.07,0.06,3.5,21,"11 / 15",2,8,537.890625,0.733333333333333,0.0952380952380952,0.380952380952381,"0.73 @ 0.29",0.1,"CHM_1_3"
"15",0.07,0.07,3.5,20,"11 / 15",2,7,537.890625,0.733333333333333,0.1,0.35,"0.73 @ 0.28",0.1,"CHM_1_3"
"16",0.07,0.08,3.5,20,"11 / 15",2,7,537.890625,0.733333333333333,0.1,0.35,"0.73 @ 0.28",0.1,"CHM_1_3"
"17",0.07,0.09,3.5,20,"11 / 15",2,7,537.890625,0.733333333333333,0.1,0.35,"0.73 @ 0.28",0.1,"CHM_1_3"
