"","a","b","height","total_seg","hit/vp","under","over","area","hitrate","underrate","overrate","Seg_qualy","MIN","chm"
"46",0.05,0.01,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,"CHM_4_3"
"47",0.05,0.02,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,"CHM_4_3"
"48",0.05,0.03,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,"CHM_4_3"
"49",0.05,0.04,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,"CHM_4_3"
"50",0.05,0.05,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,"CHM_4_3"
"51",0.01,0.01,4.5,447,"12 / 12",0,435,353,1,0,0.973154362416107,"1 @ 0.49",0.1,"CHM_4_3"
"52",0.01,0.02,4.5,433,"12 / 12",0,421,353.09375,1,0,0.972286374133949,"1 @ 0.49",0.1,"CHM_4_3"
"53",0.01,0.03,4.5,417,"12 / 12",0,405,353.15625,1,0,0.971223021582734,"1 @ 0.49",0.1,"CHM_4_3"
"54",0.01,0.04,4.5,395,"12 / 12",0,383,352.90625,1,0,0.969620253164557,"1 @ 0.48",0.1,"CHM_4_3"
"55",0.01,0.05,4.5,388,"12 / 12",0,376,352.84375,1,0,0.969072164948454,"1 @ 0.48",0.1,"CHM_4_3"
"56",0.02,0.01,4.5,214,"12 / 12",0,202,352.953125,1,0,0.94392523364486,"1 @ 0.47",0.1,"CHM_4_3"
"57",0.02,0.02,4.5,209,"12 / 12",0,197,352.96875,1,0,0.942583732057416,"1 @ 0.47",0.1,"CHM_4_3"
"58",0.02,0.03,4.5,199,"12 / 12",0,187,353.171875,1,0,0.939698492462312,"1 @ 0.47",0.1,"CHM_4_3"
"59",0.02,0.04,4.5,187,"12 / 12",0,175,353.421875,1,0,0.935828877005348,"1 @ 0.47",0.1,"CHM_4_3"
"60",0.02,0.05,4.5,181,"12 / 12",0,169,353.390625,1,0,0.933701657458563,"1 @ 0.47",0.1,"CHM_4_3"
"61",0.03,0.01,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,"CHM_4_3"
